label,review
1,房间不大，但相当舒适．距离热闹的酒吧集中区也很近，方便．环境干净＼清净，适合睡大觉．服务中规中矩，此次通过携程订房也很快捷＼省心．住的时间有限，两晚，但总体感觉不错，下次再到丽江，相信这也是下榻的首选补充点评2008年7月5日：没有给５分，不是因为有任何不满，而是完全出于个人对客栈短时间内获得的认识，也是出于希望客栈的服务能够一直保持相当水准，而不要轻易在商业化的潮流中，走上质价不符的路子．
1,酒店就是离市区太远。离新国际展会也不近。我的客人还算满意。
1,帮同事订过很多次，酒店位置很好，很方便。房间也不错。
0,"就值5元的浴盐瓶要赔40元,这不是主要的,最主要的是质量差的东西能伤人,我打开没用力就破,我可不是什么大力士"
0,帮朋友订的，反映不是太好，想必也是和城市规模有关系，宜昌的四星肯定是不能和大城市的四星相比。具体来说说入住情况吧：1.房间据说是比较旧的，设施好像比较古老，而且清洁程度有待考察2.据说soso3.说英语服务员很少，说英语的服务员说出来的英语很少。四星级怎么也得考虑如何提高接待外宾的水平吧，更何况三峡还是有很多外国游客去的。
0,"房间太差,电梯爱坏,差点被锁在电梯里出不来,爬到六楼快累死了,再也不会住.强烈建议大家考虑其他经济型酒店,如家越来越差了."
0,特价房环境非常不好，只有一扇非常小的气窗通向宾馆过道，有点象住在地下室的感觉。房间下水道还往上翻难闻的臭气。请慎重选择此宾馆。
1,房间比较干净，但是窗户打不开，空气不太好。早餐很好。总体不错。
0,电梯维修，只能爬楼，房间不大，设施一般。房间里居然连个大灯都没有，只有一盏远远的台灯晃着暗暗的光。最恐怖的是窗户外面就是走廊，隔音基本为零，只要有人走路说话，都会有回音，特响。清晨就有酒店人员穿着拖鞋嘻嘻哈哈的走过，您就别想睡了。
0,建议携程的用户不要定这家酒店，因为这家酒店缺乏诚信，你入住了他对携程说你没有入住，希望增加积分的就不要定了，而且还随意调换你的房间。
0,酒店位置距离南苑机场打车￥31元。性价比差。建议住大红门附近，距南苑机场近些。
0,酒店设施老化严重。作为一家五星级酒店，居然没有无烟楼层（这是前台登记的时候酒店服务员说的）
1,酒店除了所处位置非常有优势外，其他的应该没什么了。设施简单、陈旧，但对于住一晚的我来说，也能将就。
